timestamp,rigid_name,rigid_id,pos0,pos1,pos2,rot0,rot1,rot2,rot3
2019-05-09/16:12:54.009895,cal_design_facebow_small,5,0.15749305486679077,0.022966058924794197,0.11652783304452896,0.017030617222189903,0.7070006728172302,0.7067922949790955,-0.017454350367188454
2019-05-09/16:12:54.009895,cal_design_facebow_normal,6,0.15264132618904114,0.023161351680755615,0.01652526669204235,0.016993150115013123,0.7051219344139099,0.708670437335968,-0.017337799072265625
2019-05-09/16:12:54.017566,cal_design_facebow_small,5,0.15748938918113708,0.02296331711113453,0.11652129143476486,0.017046011984348297,0.7070379257202148,0.706754744052887,-0.017454613000154495
2019-05-09/16:12:54.017566,cal_design_facebow_normal,6,0.15264002978801727,0.023162372410297394,0.01651180163025856,0.01695997081696987,0.705101728439331,0.7086911797523499,-0.017345894128084183
2019-05-09/16:12:54.025919,cal_design_facebow_small,5,0.1574857234954834,0.022954491898417473,0.11651293188333511,0.0170520581305027,0.7070339918136597,0.706758439540863,-0.01745579019188881
2019-05-09/16:12:54.025919,cal_design_facebow_normal,6,0.15263859927654266,0.023155853152275085,0.01650417596101761,0.01695137843489647,0.705083429813385,0.7087095379829407,-0.017343616113066673
2019-05-09/16:12:54.034174,cal_design_facebow_small,5,0.15748699009418488,0.02294989861547947,0.11651159077882767,0.017054971307516098,0.7070041298866272,0.7067880630493164,-0.01746349222958088
2019-05-09/16:12:54.034174,cal_design_facebow_normal,6,0.1526394635438919,0.0231515783816576,0.016506481915712357,0.01694083958864212,0.7050939798355103,0.7086991667747498,-0.017351746559143066
2019-05-09/16:12:54.043223,cal_design_facebow_small,5,0.15748874843120575,0.022954128682613373,0.11652752757072449,0.017039896920323372,0.7070888876914978,0.7067040205001831,-0.01744941622018814
2019-05-09/16:12:54.043223,cal_design_facebow_normal,6,0.15264005959033966,0.02315138280391693,0.016518011689186096,0.01696491613984108,0.7051000595092773,0.708692729473114,-0.01734677329659462
2019-05-09/16:12:54.050744,cal_design_facebow_small,5,0.1574818640947342,0.02294798754155636,0.11653313040733337,0.017072750255465508,0.7070213556289673,0.7067713141441345,-0.017429549247026443
2019-05-09/16:12:54.050744,cal_design_facebow_normal,6,0.1526348888874054,0.02314881980419159,0.016524741426110268,0.0169769749045372,0.7050936222076416,0.7086986303329468,-0.01735169254243374
2019-05-09/16:12:54.059229,cal_design_facebow_small,5,0.15747378766536713,0.02292959950864315,0.1165393590927124,0.017045333981513977,0.7070618867874146,0.706730842590332,-0.017453812062740326
2019-05-09/16:12:54.059229,cal_design_facebow_normal,6,0.1526263952255249,0.02313370257616043,0.016528183594346046,0.01697373390197754,0.7050861716270447,0.7087061405181885,-0.017352741211652756
2019-05-09/16:12:54.068205,cal_design_facebow_small,5,0.1574622392654419,0.022910114377737045,0.11653385311365128,0.01705985888838768,0.7070198655128479,0.70677250623703,-0.017451846972107887
2019-05-09/16:12:54.068205,cal_design_facebow_normal,6,0.1526176780462265,0.023111864924430847,0.016523778438568115,0.016963902860879898,0.705072283744812,0.7087199091911316,-0.017364388331770897
2019-05-09/16:12:54.076398,cal_design_facebow_small,5,0.15745320916175842,0.022899670526385307,0.11652928590774536,0.01705939695239067,0.7070481777191162,0.7067440152168274,-0.01745671220123768
2019-05-09/16:12:54.076398,cal_design_facebow_normal,6,0.15260908007621765,0.0231001153588295,0.01651925966143608,0.016932424157857895,0.7050791382789612,0.7087135314941406,-0.017377734184265137
2019-05-09/16:12:54.084652,cal_design_facebow_small,5,0.15744909644126892,0.022898303344845772,0.11652792245149612,0.017065756022930145,0.707033634185791,0.7067584991455078,-0.017454296350479126
2019-05-09/16:12:54.084652,cal_design_facebow_normal,6,0.15260916948318481,0.02310061641037464,0.016517041251063347,0.0169235747307539,0.7050729393959045,0.7087194323539734,-0.017392363399267197
2019-05-09/16:12:54.093114,cal_design_facebow_small,5,0.15745076537132263,0.02289876528084278,0.11652837693691254,0.017053429037332535,0.7070260643959045,0.7067667245864868,-0.017440851777791977
2019-05-09/16:12:54.093114,cal_design_facebow_normal,6,0.15260827541351318,0.02310199663043022,0.01651846058666706,0.01693894900381565,0.7050703167915344,0.7087221741676331,-0.017372382804751396
2019-05-09/16:12:54.101109,cal_design_facebow_small,5,0.15744726359844208,0.022894810885190964,0.11653129011392593,0.017061205580830574,0.7070457935333252,0.706746518611908,-0.01745450124144554
2019-05-09/16:12:54.101109,cal_design_facebow_normal,6,0.15260499715805054,0.023098833858966827,0.016520265489816666,0.01692594215273857,0.7050721049308777,0.708720862865448,-0.01736714132130146
2019-05-09/16:12:54.109089,cal_design_facebow_small,5,0.1574416160583496,0.022884033620357513,0.11653464287519455,0.017049772664904594,0.7070561647415161,0.7067365050315857,-0.017450161278247833
